first 第一
second 第二
third 第三
plus 加
minus 减
multiply 乘
divide 除
zero 0
one 1
two 2
three 3
four 4
five 5
six 6
seven 7
eight 8
nine 9
ten 10
eleven 11
twelve 12
thirteen 13
fourteen 14
fifteen 15
sixteen 16
seventeen 17
eighteen 18
nineteen 19
twenty 20
hundred 百
thousand 千
million 百万
bollon 十亿
number 数字
about 关于
total 总额、总数
point 指向、分、点
percent 百分之、百分数
count 计数、数数
